GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adapter-flow-lib,dev.vality.adapter.flow.lib.model,ThreeDsV2Callback,155,0,30,0,4,0,26,0,11,0
adapter-flow-lib,dev.vality.adapter.flow.lib.model,RecurrentPaymentData.RecurrentPaymentDataBuilder,6,15,0,0,0,1,1,3,1,3
adapter-flow-lib,dev.vality.adapter.flow.lib.model,ThreeDsData,135,51,30,0,1,6,19,10,4,10
adapter-flow-lib,dev.vality.adapter.flow.lib.model,CardData.CardDataBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,GeneralEntryStateModel.GeneralEntryStateModelBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,BaseResponseModel.BaseResponseModelBuilder,44,9,0,0,0,1,6,2,6,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,MobilePaymentData,135,51,30,0,1,6,19,10,4,10
adapter-flow-lib,dev.vality.adapter.flow.lib.model,BaseRequestModel.BaseRequestModelBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,ThreeDsData.ThreeDsDataBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,CardData.CardDataBuilder,12,33,0,0,0,1,1,6,1,6
adapter-flow-lib,dev.vality.adapter.flow.lib.model,RecurrentPaymentData.RecurrentPaymentDataBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,MobilePaymentData.MobilePaymentDataBuilder,26,3,0,0,0,1,4,1,4,1
adapter-flow-lib,dev.vality.adapter.flow.lib.model,CardData,203,67,46,0,1,8,27,14,4,14
adapter-flow-lib,dev.vality.adapter.flow.lib.model,ThreeDSMethodData,115,0,22,0,3,0,20,0,9,0
adapter-flow-lib,dev.vality.adapter.flow.lib.model,BaseResponseModel.BaseResponseModelBuilderImpl,0,7,0,0,0,1,0,2,0,2
adapter-flow-lib,dev.vality.adapter.flow.lib.model,BaseRequestModel,509,194,118,0,1,17,63,32,4,32
adapter-flow-lib,dev.vality.adapter.flow.lib.model,RefundData,92,36,22,0,0,6,14,8,3,8
adapter-flow-lib,dev.vality.adapter.flow.lib.model,GeneralEntryStateModel,203,77,46,0,1,8,27,14,4,14
adapter-flow-lib,dev.vality.adapter.flow.lib.model,BaseResponseModel,224,79,54,0,0,8,32,13,5,13
adapter-flow-lib,dev.vality.adapter.flow.lib.model,RefundData.RefundDataBuilder,6,21,0,0,0,1,1,4,1,4
adapter-flow-lib,dev.vality.adapter.flow.lib.model,GeneralExitStateModel.GeneralExitStateModelBuilderImpl,7,0,0,0,1,0,2,0,2,0
adapter-flow-lib,dev.vality.adapter.flow.lib.model,GeneralExitStateModel,344,77,70,0,2,10,41,18,6,18
adapter-flow-lib,dev.vality.adapter.flow.lib.model,PayerInfo,135,51,30,0,1,6,19,10,4,10
adapter-flow-lib,dev.vality.adapter.flow.lib.model,MobilePaymentData.MobilePaymentDataBuilderImpl,2,5,0,0,0,1,1,1,1,1
